,x,expansion
3240,sux,sucks
3241,sux0rz,sucks
3242,sux2bu,sucks to be you
3243,suxor,Sucks
3244,suxors,sucks
3245,suxorz,sucks
3246,suxx,sucks
3247,suxxor,sucks
3248,suyah,shut up you ass hole!
3249,svn,seven
3250,svu,special victims unit
3251,sw,so what
3252,swafk,sealed with a friendly kiss
3253,swak,sealed with a kiss
3254,swakaah,Sealed With A Kiss And A Hug
3255,swalk,sealed with a loving kiss
3256,swf,single white female
3257,swm,single white male
3258,swmbo,she who must be obeyed
3259,swmt,Stop Wasting My Time 
3260,swp,sorry wrong person
3261,swsw2b,single when she wants to be
3262,swt,sweet
3263,swtf,seriously what the fuck
3264,sx,sex
3265,sxc,sexy
3266,sxcy,sexy
3267,sxe,straight edge
3268,sxi,sexy
3269,sxs,sex
3270,sxy,sexy
3271,sya,See you again.
3272,syatp,see you at the party
3273,sydim,stick your dick in me
3274,sydlm,Shut your dirty little mouth
3275,syfm,shut your fucking mouth
3276,syiab,see you in a bit
3277,syiaf,see you in a few
3278,syl,see you later
3279,syl8r,see you later
3280,sym,shut your mouth
3281,syoa,Save Your Own ass
3282,syotbf,see you on the battlefield
3283,syrs,see ya real soon
3284,sys,see you soon
3285,sysop,system operator
3286,syt,see you there
3287,sytycd,so you think you can dance 
3288,syu,sex you up
3289,sz,sorry
3290,Tsm,Thanks so much
3292,tftfy,there fixed that for you
3293,t.t.y.l,Talk To You Later
3294,t/a,Try again
3295,t2b,time to blunt
3296,t2m,talk to me
3297,t2u,talking to you
3298,t2ul,talk to you later
3299,t2ul8r,talk to you later
3300,t3h,the
3301,t4a,thanks for asking
3302,t4m,Transgender for Male
3303,t8st,taste
3304,ta,thanks again
3305,taci,that's a crappy idea
3306,tafn,That's all for now
3307,taht,that
3308,tai,think about it
3309,taig,That's all I got. 
3310,tal,thanks a lot
3311,talkin,talking
3312,tanq,thank you
3313,tanstaafl,there ain't no such thing as a free lunch
3314,tard,retard
3315,tarfu,things are really fucked up
3316,tat,that
3317,tat2,tattoo
3318,tau,thinking about you
3319,taunch,te amo un chingo
3320,taw,Teachers are Watching
3321,tay,thinking about you
3322,tb,text back
3323,tb4u,too bad for you
3324,tba,to be anounced
3325,tbc,To be continued
3326,tbd,to be decided
3327,tbf,to be fair
3328,tbfh,to be fucking honest
3329,tbfu,too bad for you
3330,tbh,to be honest
3331,tbhimo,to be honest in my opinion
3332,tbnt,thanks but no thanks
3333,tbp,The Pirate Bay
3334,tbpfh,To be perfectly fucking honest
3335,tbph,To be perfectly honest
3336,tbqf,to be quite frank
3337,tbqh,to be quite honest
3338,tbss,too bad so sad
3339,tbt,throwback thursday
3340,tbtfh,to be totally freaking honest
3341,tbvh,to be very honest
3342,tbya,think before you act
3343,tc,take care
3344,tcfc,Too Close For Comfort
3345,tcfm,too cool for me
3346,tcg,Trading Card Game
3347,tchbo,Topic creater has been owned
3348,tcial,The cake is a lie
3349,tcoy,take care of yourself
3350,tcp,transmission control protocol
3351,tcp/ip,transmission control protocol/internet protocol
3352,td2m,talk dirty to me
3353,tddup,till death do us part
3354,tdf,To Die For
3355,tdl,Too damn Lazy
3356,tdtm,Talk Dirty To Me
3357,tdtml,talk dirty to me later
3358,tdwdtg,The Devil Went Down To Georgia
3359,te,Team effort
3360,teh,the
3361,teotwawki,the end of the world as we know it
3362,terd,shit
3363,tf2,Team Fortress 2
3364,tfa,the fucking article
3365,tfb,time for bed
3366,tfbundy,totaly fucked but unfortunatly not dead yet
3367,tfc,Team Fortress Classic
3368,tfd,total fucking disaster
3369,tff,That's fucking Funny
3370,tfft,thank fuck for that
3371,tffw,Too funny for words
3372,tfh,Thread from hell
3373,tfic,Tongue Firmly In Cheek
3374,tfiik,the fuck if i know
3375,tfl,Thanks For Looking
3376,tfln,thanx for last night
3377,tfm,too fucking much
3378,tfs,thanks for sharing
3379,tfta,thanks for the add
3380,tfti,thanks for the information
3381,tfu,that's fucked up
3382,tfu2baw,time for you to buy a watch
3383,tg,thank god
3384,tgfe,together forever
3385,tgfitw,The Greatest Fans In The World
3386,tgft,thank god for that
3387,tgfu,too good for you
3388,tgfuap,thank god for unanswered prayers
3389,tghig,thank god husband is gone
3390,tgif,thank god it's friday
3391,tgiff,thank god its fucking Friday
3392,tgis,thank god it's saturday
3393,tgiwjo,Thank God It Was Just Once
3394,tgsttttptct,thank God someone took the time to put this crap together
3395,tgtbt,Too Good To Be True
3396,tgwig,thank god wife is gone
3397,tgws,that goes without saying
3398,th4nk5,Thanks
3400,tha,the
3401,thankies,Thank You
3402,thankx,thank you
3403,thanq,thank you
3404,thanx,thank you
3405,thar,there
3406,thatz,that's
3407,thku,thank you
3408,thn,then
3409,thnk,think
3410,thnx,thanks
3411,tho,though
3412,thot,the hoe of today
3413,thr,there
3414,thr4,therefore
3415,thru,through
3416,tht,that
3417,thwdi,thats how we do it
3418,thwy,the hell with you!
3419,thx,thank you
3420,thxx,thanks
3421,thz,thank you
3422,ti2o,that is too obious
3423,tia,thanks in advance
3424,tiafayh,Thanks in advance for all your help
3425,tiai,take it all in
3426,tias,Try It And See
3427,tiatwtcc,this is a trap word to catch copiers
3428,tif,this is fun
3429,tif2m,this is fucking 2 much
3430,tifs,this is funny shit
3431,tifu,that is fucked up
3432,tigger,tiger
3433,tiic,the idiots in control
3434,til,until
3435,tilf,Teenager I'd Like To fuck
3436,tinf,this is not fair
3437,tinla,this is not legal advice
3438,tinstaafl,There Is No Such Thing As A Free Lunch
3439,tioli,take it or leave it
3440,tis,is
3441,tisc,that is so cool
3442,tisfu,that is so fucked up
3443,tisg,this is so gay
3444,tisly,that is so last year
3445,tisnf,that is so not fair
3446,tiss,This is some shit
3447,tisw,that is so wrong
3448,tiw,teacher is watching
3449,tix,tickets
3450,tjb,thats just boring
3451,tk,team kill
3452,tk2ul,talk to you later
3453,tkd,Tae Kwon Do
3454,tker,team killer
3455,tks,thanks
3456,tku,thank you
3457,tl,Tough Luck
3458,tldr,Too long; didn't read
3459,tl8r,talk later
3462,tl;dr,too long; didn't read
3463,tla,Three Letter Acronym
3464,tlc,tender loving care
3465,tld,told
3466,tldnr,too long did not read
3467,tldr,Too long didn't read.
3468,tlgo,The list goes on
3469,tliwwv,this link is worthless without video
3470,tlk,talk
3471,tlk2me,talk to me
3472,tlk2ul8r,talk to you later
3473,tlkin,talking
3474,tlkn,talking
3475,tltpr,Too long to proof read.
3476,tlyk,to let you know
3477,tma,take my advice
3478,tmaai,tell me all about it
3479,tmai,tell me about it
3480,tmbi,tell me about it
3481,tmi,too much information
3482,tmk,to my knowledge
3483,tml,tell me later
3484,tmmrw,tomorrow
3485,tmnt,teenage mutant ninja turtles
3486,tmo,take me out
3487,tmoro,tomorrow
3488,tmoz,tomorrow
3489,tmp,Text my phone
3490,tmr,tomorrow
3491,[email protected],the monkeys are at it again
3492,tmrrw,tomorrow
3493,tmrw,Tomorrow
3494,tmrz,tomorrow
3495,tms,that makes sense
3496,tmsaisti,That's my story and I'm sticking to it.
3497,tmsg,tell me something good
3498,tmsidk,tell me somthing I don't know
3499,tmth,too much to handle
3500,tmtmo,text me tomorrow
3501,tmtoyh,Too Much Time On Your Hands
3502,tmtt,tell me the truth
3503,tmw,Too much work
3504,tmwfi,Take my word for it
3505,tmz,tomorrow
3506,tn1,trust no-one
3507,tna,tits and ass
3508,tnc,totally not cool
3509,tnf,That's Not Funny
3510,tnlnsl,Took nothing left nothing signed log
3511,tnx,thanks
3512,tnxz,thanks
3513,tob,teacher over back
3514,tofy,Thinking of You
3515,togtfooh,tits or get the fuck out of here
3516,toh,typing one handed
3517,tok,That's ok
3518,tok2ul8r,i'll talk to you later
3519,tolol,thinking of laughing out loud
3520,tomm,tommorow
3521,tomoro,tommorrow
3522,tomoz,tomorrow
3523,tonite,tonight
3524,tos,terms of service
3525,totd,tip of the day
3526,totes,totally
3527,totl,total
3528,totm,top of the morning
3529,totp,talking on the phone
3530,totpd,top of the page dance
3531,tou,thinking of you
3532,toya,thinking of you always
3533,tp,toilet paper
3534,tpb,the pirate bay
3535,tpiwwp,this post is worthless without pictures
3536,tps,test procedure specification
3537,tptb,the powers that be
3538,tq,Thank You
3539,trani,transexual
3540,tranny,Transexual
3541,trble,trouble
3542,trd,tired
3543,trnsl8,translate
3544,trnsltr,translator
3545,troll,person who diliberately stirs up trouble
3546,tru,TRUE
3547,ts,talking shit
3548,tsc,that's so cool
3549,tsff,thats so fuckin funny
3550,tsig,that site is gay
3551,tsnf,that's so not fair
3552,tss,That's so sweet
3553,tstoac,too stupid to own a computer
3554,tswc,tell someone who cares
3555,tt4n,ta ta for now
3556,ttbc,Try to be cool
3557,ttbomk,to the best o fmy knowledge
3558,ttc,text the cell
3559,ttf,that\'s too funny
3560,ttfaf,Through the Fire and Flames
3561,ttfn,ta ta for now
3562,ttg,Time to go
3563,tthb,try to hurry back
3564,ttihlic,try to imagine how little i care
3565,ttiuwiop,this thread is useless without pics
3566,ttiuwop,this thread is useless without pics
3567,ttiuwp,This Thread Is Useless Without Pictures
3568,ttiwwop,This thread is worthless without pics
3569,ttiwwp,this thread is worthless without pics
3570,ttl,total
3571,ttlly,totally
3572,ttly,totally
3573,ttm,talk to me
3574,ttml,talk to me later
3575,ttmn,Talk to me now
3576,ttms,talking to myself
3577,ttr,time to run
3578,ttrf,That's the rules fucker
3579,tts,text to speech
3580,ttt,to the top
3581,ttth,Talk To The Hand
3582,tttt,to tell the truth
3583,ttul,Talk To You Later
3584,ttul8r,Talk to you later
3585,ttus,talk to you soon
3586,ttut,Talk to you Tomorrow
3587,ttutt,to tell you the truth
3588,tty,Talk to You
3589,ttya,Thanks to you all
3590,ttyab,Talk to you after breakfast
3591,ttyad,Talk to you after Dinner
3592,ttyal,Talk to you after lunch
3593,ttyas,talk to you at school
3594,ttyiam,talk to you in a minute
3595,ttyitm,talk to you in the morning
3596,ttyl,talk to you later
3597,ttyl2,Talk to you later too
3598,ttyl8r,talk to you later
3599,ttylo,talk to you later on
3600,ttylt,talk to you later today
3601,ttyn,talk to you never
3602,ttyna,talk to you never again
3603,ttynl,talk to you never loser
3604,ttynw,talk to you next week
3605,ttyo,talk to you online
3606,ttyob,tend to your own business
3607,ttyotp,talk to you on the phone
3608,ttyrs,talk to you really soon
3609,ttys,talk to you soon
3610,ttyt,talk to you tomorrow
3611,ttytm,talk to you tomorrow
3612,ttytt,to tell you the truth
3613,ttyw,talk to you whenever
3614,ttywl,Talk to you way later
3615,tu,thank you
3616,tuff,tough
3617,tuh,to
3618,tut,take your time
3619,tuvm,thank you very much
3620,tv,television
3621,tvm,thanks very much
3622,tw,Teacher Watching
3623,twajs,That was a joke son.
3624,twat,vagina
3625,twbc,that would be cool
3626,twdah,that was dumb as hell
3627,twf,That was funny
3628,twfaf,thats what friends are for
3629,twg,That was great
3630,twi,Texting While Intoxicated
3631,twis,that's what I said
3632,twoh,typing with one hand
3633,tws2wa,That was so 2 weeks ago
3634,twss,That's what she said
3635,twsy,That was so yeterday
3636,twttr,twitter
3637,twvsoy,that was very stupid of you
3638,twyl,Talk With You Later
3639,twys,Talk With You Soon
3640,tx,thanks
3641,txs,thanks
3642,txt,text
3643,txting,texting
3644,txtyl,text you later
3645,ty,thank you
3646,tyclos,turn your CAPS LOCK off  stupid
3647,tyfi,Thank You for invite
3648,tyfn,thank you for nothing
3649,tyfyc,Thank You For Your Comment
3650,tyfyt,Thank you for your time
3651,tyl,text you later
3652,tym,time
3653,tyme,time
3654,typ,thank you partner
3655,typo,typing mistake
3656,tyred,tired
3657,tys,Told You So
3658,tysfm,thank you so fucking much
3659,tysm,thank you so much
3660,tysvm,thank you so very much
3661,unt,until next time
3662,uom,You owe me
3663,upcia,unsolicited pool cue in anus
3664,upia,unsolicited pencil in anus
3665,upmo,You piss me off
3666,upos,you piece of shit
3667,upw,unidentified party wound
3668,ur,your
3669,ur2g,you are too good
3670,ur6c,you're sexy
3671,ura,you are a
3672,uradrk,you're a dork
3673,urafb,you are a fucking bitch
3674,uraqt,you are a cutie
3675,urcrzy,you are crazy
3676,ure,you are
3677,urg,you are gay
3678,urht,you're hot
3679,url,Uniform Resource Locator
3680,url8,you are late
3681,urms,you rock my socks
3682,urmw,you are my world
3683,urnc,you are not cool
3684,urs,yours
3685,ursab,you are such a bitch
3686,ursdf,you are so damn fine
3687,ursg,you are so gay
3688,ursh,you are so hot
3689,urssb,you are so sexy baby
3690,urstpid,you are stupid
3691,urstu,you are stupid
3692,urtb,you are the best
3693,urtbitw,You are the best in the world!
3694,urtrd,you retard
3695,urtw,you are the worst
3696,urw,you are weird
3697,uryyfm,you are too wise for me
3698,usck,you suck
3699,usd,United States Dollar
3700,ussr,The Union of Soviet Socialist Republics
3701,usuk,You Suck
3702,usux,you suck
3703,ut,unreal tournament
3704,uta,up the ass
3705,utfs,Use the fucking search
3706,utfse,use the fucking search engine
3707,utm,you tell me
3708,uttm, you talking to me?
3709,utube,youtube
3710,utw,used to work
3711,uty,it's up to you
3712,uve,You've
3713,uvgtbsm,you have got to be shiting me
3714,uw,you're welcome
3715,uwc,you are welcome
3716,uya,up your ass
3717,uyab,up your ass bitch
3719,vag,vagina
3720,vajayjay,vagina
3721,vb,visual basic
3722,vbeg,very big evil grin
3723,vbg,very big grin
3724,vf,very funny
3725,vfe,Virgins 4 ever
3726,vff,Verry fucking Funny
3727,vfm,value for money
3728,vgg,very good game
3729,vgh,Very good hand
3730,vgl,very good looking
3731,vgn,Video Game Nerd
3732,vid,Video
3733,vids,Videos
3734,vip,very important person
3735,vleo,Very Low Earth Orbit
3736,vlog,video log
3737,vn,very nice
3738,vnc,Virtual Network Computing
3739,vnh,Very nice hand
3740,voip,voice over ip
3741,vrsty,Varsity
3742,vry,very
3743,vs,versus
3744,vwd,very well done
3745,vweg,very wicked evil grin
3746,vzit,visit
3747,vzn,verizon
3749,w.b.s.,Write Back Soon
3750,w.e,Whatever
3751,w.e.,whatever
3752,w.o.w,World of Warcraft
3753,w.o.w.,world of warcraft
3754,w/,with
3755,w/b,write back
3756,w/e,whatever
3757,w/end,weekend
3758,w/eva,whatever
3759,w/o,with out
3760,w/out,without
3761,w/u,with you
3762,w00t,woohoo
3763,w012d,word
3764,w2d,what to do
3765,w2f,want to fuck
3766,w2g,Way to go
3767,w2ho,want to hang out
3768,w2m,want to meet
3769,w33d,weed
3770,w8,wait
3771,w8am,wait a minute
3772,w8ing,waiting
3773,w8t4me,wait for me
3774,w8ter,waiter
3775,w911,Wife in room
3776,wab,what a bitch
3777,wad,without a doubt
3778,wad ^,what's up?
3779,wadr,with all due respect
3780,wadzup,What's up?
3781,waf,weird as fuck
3782,wafda,What a fucking Dumb ass
3783,wafl,what a fucking loser
3784,wafm,wait a fucking minute
3785,wafn,what a fucken noob
3786,wai,what an idiot
3787,waloc,what a load of crap
3788,walstib,what a long strange trip it's been
3789,wam,wait a minute
3790,wamh,with all my heart
3791,wan2tlk,Want to talk
3792,wana,want to
3793,wanafuk,wanna fuck
3794,wanker,masturbater
3795,wanking,Masturbating
3796,wanna,want to
3797,wansta,wanna be ganster
3798,warez,illegally obtained software
3799,wassup,what's up?
3800,wasup,What's Up
3801,was^,What's Up
3802,wat,what
3803,wat's^,Whats Up
3804,watcha,what are you
3805,watev,whatever
3806,wateva,whatever 
3807,watevr,whatever
3808,watevs,whatever
3809,watp,We Are The People
3810,wats,whats
3811,wats ^,whats up
3812,wats^,what's up?
3813,watz ^,What's up
3814,wau,what about you
3815,waug,Where are you going
3816,wauw,what are you wearing
3817,wau^2,what are you up to?
3818,waw,what a whore
3819,waycb,when are you coming back
3820,wayd,what are you doing
3821,waygow,who are you going out with
3822,wayh,why are you here
3823,wayn,Where Are You Now
3824,waysttm,why are you still talking to me
3825,waysw,Why are you so weird
3826,wayt,What are you thinking?
3827,wayta,what are you talking about
3828,wayut,what are you up to
3829,waz,what is
3830,waz ^,what's up
3831,wazz,what's
3832,wazza,what's up
3833,wazzed,drunk
3834,wazzup,what's up
3835,waz^,what's up?
3836,wb,welcome back
3837,wbagnfarb,would be a good name for a rock band
3838,wbb,will be back
3839,wbbs,will be back soon
3840,wbp,Welcome Back Partner
3841,wbrb,Will be right back
3842,wbs,write back soon
3843,wbu,what about you
3844,wby,what about you
3845,wc,who cares
3846,wc3,Warcraft III
3847,wcm,Women Crush Monday
3848,wcutm,what can you tell me
3849,wcw,webcam whore
3850,wd,well done
3851,wdf,Worth Dying For
3852,wdhlm,why doesnt he love me?
3853,wdidn,what do i do now
3854,wdim,What Did I miss
3855,wdtm,what does that mean
3856,wduc,what do you care
3857,wdum,what do you mean
3858,wdus,What Did You Say
3859,wdut,what do you think?
3860,wdutom,what do you think of me
3861,wduw,what do you want
3862,wduwta,what do you wanna talk about
3863,wduwtta,what do you want to talk about
3864,wdwdn,what do we do now
3865,wdwgw,where did we go wrong
3866,wdyl,who do you like
3867,wdytia,who do you think i am?
3868,wdywtd,what do you want to do
3869,weg,wicked evil grin
3870,wev,Whatever
3871,weve,what ever
3872,wevr,whatever
3873,wfh,Working From Home
3874,wfhw,what's for homework
3875,wfm,Works For Me
3876,wfyb,whatever floats your boat
3877,wg,wicked gril
3878,wgac,who gives a crap
3879,wgaf,Who gives a fuck
3880,wgas,who gives a shit
3881,wgasa,who gives a shit anyway
3882,wgo,what's going on
3883,wgph2,Want to go play Halo 2?
3884,wha,what?
3885,whaddya,what do you
3886,whaletail,thong
3887,whatcha,what are you
3888,whatev,whatever
3889,whatevs,whatever
3890,whats ^,whats up
3891,what^,what's up?
3892,whenevs,whenever
3893,whevah,where ever
3894,whever,whatever
3895,whf,Wanna have fun?
3896,whit,with
3897,whodi,friend
3898,whr,where
3899,whs,wanna have sex
3900,wht,What
3901,whteva,what ever
3902,whteve,whatever
3903,whtever,whatever
3904,whtevr,whatever
3905,whtvr,whatever
3906,wht^,what up
3907,whubu2,what have you been up to
3908,whubut,what have you been up to
3909,whut,what
3910,whyb,where have you been
3911,whyd,What Have You Done
3912,wid,with
3913,widout,without
3914,wieu2,What Is Everyone Up To
3915,wif,With
3916,wiid,what if i did
3917,wilco,will comply
3918,winnar,winner
3919,wio,without
3920,wip,Work In progress
3921,wit,with
3922,witcha,with you
3923,witfp,What is the fucking point
3924,witu,with you
3925,witw,what in the world
3926,witwct,What is the world coming too
3927,witwu,who is there with you
3928,witwwyt,what in the world were you thinking
3929,wiu,What is up?
3930,wiuwu,what is up with you
3931,wiv,with
3932,wiw,wife is watching
3933,wiwhu,wish I was holding you
3934,wiwt,wish i was there 
3935,wiyp,what is your problem
3936,wjwd,What Jesus Would Do
3937,wk,week
3938,wkd,wicked
3939,wkend,weekend
3940,wl,will
3941,wlc,welcome
3942,wlcb,welcome back
3943,wlcm,welcome
3944,wld,would
3945,wlkd,walked
3946,wlos,wife looking over Shoulder
3947,wltm,would like to meet
3948,wmao,working my ass off
3949,wmd,Weapons Of Mass Destruction
3950,wmgl,wish me good luck
3951,wml,Wish Me Luck
3952,wmts,we must talk soon
3953,wmyb,What Makes You Beautiful
3954,wn,when
3955,wna,want to
3956,wnkr,wanker
3957,wnrn,why not right now
3958,wnt,want
3959,wntd,what not to do
3960,woa,word of advice
3961,woc,welcome on cam
3962,wochit,watch it
3963,woe,what on earth
3964,woft,Waste of fucking time
3965,wogge,what on god's green earth?
3966,wogs,waste of good sperm
3967,wolo,we only live once
3968,wombat,waste of money  brains  and time
3969,woot,woohoo
3970,wos,Waste of space
3971,wot,what
3972,wotevs,whatever
3973,wotv,What's on Television?
3974,wotw,word of the week
3975,woum,what's on your mind
3976,wowzers,wow
3977,woz,was
3978,wp,wrong person
3979,wpe,worst president ever
3980,wrd,word
3981,wrdo,weirdo
3982,wrgad,who really gives a damn
3983,wrgaf,Who really gives a fuck?
3984,wrk,work
3985,wrm,which reminds me
3986,wrng,wrong
3987,wrt,with regard to
3988,wrtg,writing
3989,wrthls,Worthless
3990,wru,where are you
3991,wrud,what are you doing
3992,wruf,where are you from
3993,wruu2,what are you up to
3994,wsb,wanna cyber?
3995,wsf,we should fuck
3996,wshtf,when shit hits the fan
3997,wsi,why should I
3998,wsibt,when should i be there
3999,wsidi,Why Should I Do It
4000,wsop,world series of poker
4001,wswta,What shall we talk about?
4002,wtaf,What the actual fuck
4003,wtb,Want to buy
4004,wtbd,what's the big deal
4005,wtbh,What the bloody hell
4006,wtc,what the crap
4007,wtcf,what the crazy fuck
4008,wtd,what the deuce
4009,wtf,what the fuck
4010,wtfaud,what the fuck are you doing?
4011,wtfay,who the fuck are you
4012,wtfayd,what the fuck are you doing
4013,wtfayt,why the fuck are you talking
4014,wtfayta,What the fuck are you talking about?
4015,wtfb,what the fuck bitch
4016,wtfbs,What the fuck bull shit
4017,wtfc,Who The fuck Cares
4018,wtfdik,what the fuck do i know
4019,wtfdtm,What the fuck does that mean 
4020,wtfdum,what the fuck do you mean
4021,wtfduw,What the fuck do you want?
4022,wtfdyw,what the fuck do you want
4023,wtfe,What The fuck Ever
4024,wtfever,what the fuck ever
4025,wtfg,What the fucking god
4026,wtfh,what the fucking hell
4027,wtfhb,what the fucking hell bitch
4028,wtfhwt,what the fucking hell was that
4029,wtfigo,what the fuck is going on
4030,wtfigoh,what the fuck is going on here
4031,wtfit,what the fuck is that
4032,wtfits,what the fuck is this shit
4033,wtfiu,what the fuck is up
4034,wtfiup,what the fuck is your problem
4035,wtfiuwy,what the fuck is up with you
4036,wtfiwwu,what the fuck is wrong with you
4037,wtfiwwy,what the fuck is wrong with you
4038,wtfiyp,what the fuck is your problem
4039,wtfm,what the fuck  mate?
4040,wtfmf,what the fuck mother fucker
4041,wtfo,what the fuck over
4042,wtfru,what the fuck are you
4043,wtfrud,What the fuck are you doing?
4044,wtfrudng,what the fuck are you doing
4045,wtfrudoin,what the fuck are you doing
4046,wtfruo,what the fuck are you on?
4047,wtfruttd,what the fuck are you trying to do
4048,wtfs,what the fucking shit?
4049,wtfuah,what the fuck you asshole
4050,wtful,What the fuck you loser
4051,wtfwjd,what the fuck would jesus do
4052,wtfwt,what the fuck was that
4053,wtfwtd,what the fuck was that dude
4054,wtfwtf,what the fuck was that for?
4055,wtfya,what the fuck you asshole
4056,wtfyb,what the fuck you bitch
4057,wtg,way to go
4058,wtgds,way to go dumb shit
4059,wtgp,Want to go Private
4060,wth,what the heck
4061,wtharud,what the heck are you doing
4062,wthau,who the hell are you
4063,wthauwf,what the hell are you waiting for
4064,wthay,who the hell are you
4065,wthayd,what the heck are you doing
4066,wthaydwmgf,what the hell are you doing with my girlfriend
4067,wthdydt,why the hell did you do that
4068,wthhyb,where the hell have you been?
4069,wthigo,what the hell is going on
4070,wthiwwu,What the hell is wrong with you
4071,wtho,want to hang out?
4072,wthru,Who the heck are you
4073,wthrud,what the hell are you doing?
4074,wths,want to have sex
4075,wthswm,want to have sex with me
4076,wthwt,what the hell was that?
4077,wthwut,what the hell were you thinking
4078,wthyi,what the hell you idiot
4079,wtii,what time is it
4080,wtiiot,What time is it over there?
4081,wtityb,whatever tell it to your blog
4082,wtly,Welcome to last year
4083,wtmf,what the mother fuck
4084,wtmfh,what the mother fucking hell
4085,wtmi,way too much information
4086,wtmtr,what's the matter
4087,wtp,where's the party
4088,wtrud,what are you doing
4089,wts,want to sell
4090,wtt,want to trade
4091,wttp,want to trade pictures?
4092,wtv,Whatever
4093,wtva,whatever
4094,wtvr,whatever
4095,wtwm,what time are we meeting?
4096,wtwr,well that was random
4097,wu,what's up
4098,wu2kilu,want you to know I love you
4099,wub,love
4100,wubmgf,Will You Be My Girlfriend?
4101,wubu2,what you been up to
4102,wubut,what you been up too
4103,wud,would
4104,wudev,Whatever
4105,wudn,what you doing now
4106,wufa,where you from again
4107,wugowm,will you go out with me
4108,wula,what you looking at?
4109,wuld,would
4110,wuny,wait until next year
4111,wussup,What is up?
4112,wut,what
4113,wutb,What are you talking about
4114,wutcha,What are you
4115,wuteva,whatever
4116,wutevr,what ever
4117,wuts,what is
4118,wutup,What's Up
4119,wuu2,what you up too
4120,wuu22m,what you up to tomorrow
4121,wuut,what you up to
4122,wuv,love
4123,wuwh,Wish you were here
4124,wuwt,what's up with that
4125,wuwta,what do you want to talk about
4126,wuwtab,what do you want to talk about
4127,wuwtb,what do you want to talk about
4128,wuwtta,what you want to talk about
4129,wuwttb,What you want to talk about 
4130,wuwu,what up with you
4131,wuz,was
4132,wuza,what's up
4133,wuzup,what's up
4134,wwc,who would care
4135,wwcnd,What would Chuck Norris do
4136,wwdhd,What would David Hasselhoff do
4137,wwe,World Wrestling Entertainment
4138,wwgf,when we gonna fuck
4139,wwhw,when where how why
4140,wwikt,why would i know that
4141,wwjd,what would jesus do?
4142,wwt,what was that
4143,wwtf,what was that for
4144,wwudtm,what would you do to me
4145,wwut,what were you thinking
4146,www,world wide web
4147,wwwy,what's wrong with you
4148,wwy,where were you
4149,wwycm,when will you call me
4150,wwyd,what would you do?
4151,wwyd2m,what would you do to me
4152,wwyt,What were you thinking
4153,wy,Why?
4154,wyas,wow you are stupid
4155,wyatb,wish you all the best
4156,wyauimg,Why you all up in my grill?
4157,wyb,Watch your back
4158,wybts,were you born this sexy
4159,wyc,will you come
4160,wycm,Will You Call Me
4161,wyd,what are you doing
4162,wyg,will you go
4163,wygac,when you get a chance
4164,wygam,When you get a minute
4165,wygowm,Will you go out with me
4166,wygwm,will you go with me
4167,wyhi,Would You Hit It?
4168,wyhswm,would you have sex with me
4169,wylion,whether you like it or not
4170,wyltk,wouldn't you like to know
4171,wylym,Watch Your Language Young Man
4172,wym,What You Mean?
4173,wyn,What's your name
4174,wyp,what's your problem?
4175,wypsu,will you please shut up
4176,wys,wow you're stupid
4177,wysiayg,what you see is all you get
4178,wysitwirl,what you see is totally worthless in real life
4179,wysiwyg,what you see is what you get
4180,wyw,What You Want
4181,wywh,wish you were here
4182,wywo,while you were out
4183,w\e,whatever
4185,x treme,extreme
4186,xb36t,Xbox 360
4187,xbf,ex-boyfriend
4188,xbl,xbox live
4189,xcept,except
4190,xcpt,except
4191,xd,extreme droll
4192,xellent,excellent
4193,xfer,transfer
4194,xgf,exgirlfriend
4195,xing,crossing
4196,xit,Exit
4197,xl,extra large
4198,xlnt,Excellent
4199,xmas,christmas
4200,xmpl,example
4201,xoac,Christ on a crutch
4202,xor,hacker
4203,xover,crossover
4204,xox,hugs and kisses
4205,xoxo,hugs and kisses
4206,xp,experience
4207,xpect,expect
4208,xplaned,explained
4209,xpt,except
4210,xroads,crossroads
4211,xs,excess
4212,xtc,ecstasy
4213,xtra,extra
4214,xtreme,extreme
4215,xyz,examine your zipper
4216,xyzpdq,Examine Your Zipper Pretty Darn Quick
4217,y w,you're welcome
4218,y!a,yahoo answers
4219,y'all,you all
4220,y/n,yes or no
4221,ya,yeah
4222,yaaf,you are a fag
4223,yaafm,You Are A fucking Moron
4224,yaagf,you are a good friend
4225,yaai,You are an idiot
4226,yaf,you're a fag
4227,yafi,you're a fucking idiot
4228,yag,you are gay
4229,yall,you all
4230,yapa,yet another pointless acronym
4231,yaqw,You are quite welcome
4232,yarly,yeah really
4233,yas,you are stupid
4234,yasan,You are such a nerd
4235,yasf,you are so funny
4236,yasfg,you are so fucking gay
4237,yasg,you are so gay
4238,yasw,you are so weird
4239,yatb,you are the best
4240,yatwl,you are the weakest link
4241,yaw,you are welcome
4242,yayo,cocaine
4243,ybbg,Your Brother By Grace
4244,ybs,you'll be sorry
4245,ybya,you bet your ass
4246,ycliu,You could look it up
4247,ycmtsu,You Can't Make This shit Up
4248,ycntu,Why Cant You?
4249,yctwuw,you can think what you want
4250,ydpos,you dumb piece of shit
4251,ydtm,You're dead to me
4252,ydufc,Why do fucking care?
4253,yduwtk,why do you want to know
4254,ye,yeah
4255,yea,yeah
4256,yer,you're
4257,yermom,your mother
